nombre,descripcion,precio,categoria,sku,tags
"BOSCH Escobilla Aerotwin 16 pulgadas","Escobilla completa Aerotwin 16 pulgadas / 400 mm. Ref. AR16U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",14990,Escobillas,ECP-ESC-001,escobilla;goma;bosch;aerotwin;16;400mm;ar16u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 18 pulgadas","Escobilla completa Aerotwin 18 pulgadas / 450 mm. Ref. AR18U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",15990,Escobillas,ECP-ESC-002,escobilla;goma;bosch;aerotwin;18;450mm;ar18u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 19 pulgadas","Escobilla completa Aerotwin 19 pulgadas / 475 mm. Ref. AR19U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",16490,Escobillas,ECP-ESC-003,escobilla;goma;bosch;aerotwin;19;475mm;ar19u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 20 pulgadas","Escobilla completa Aerotwin 20 pulgadas / 500 mm. Ref. AR20U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",16990,Escobillas,ECP-ESC-004,escobilla;goma;bosch;aerotwin;20;500mm;ar20u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 21 pulgadas","Escobilla completa Aerotwin 21 pulgadas / 530 mm. Ref. AR21U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",17990,Escobillas,ECP-ESC-005,escobilla;goma;bosch;aerotwin;21;530mm;ar21u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 22 pulgadas","Escobilla completa Aerotwin 22 pulgadas / 550 mm. Ref. AR22U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",18990,Escobillas,ECP-ESC-006,escobilla;goma;bosch;aerotwin;22;550mm;ar22u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 24 pulgadas","Escobilla completa Aerotwin 24 pulgadas / 600 mm. Ref. AR24U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",20990,Escobillas,ECP-ESC-007,escobilla;goma;bosch;aerotwin;24;600mm;ar24u;limpiaparabrisas
"BOSCH Escobilla Aerotwin 26 pulgadas","Escobilla completa Aerotwin 26 pulgadas / 650 mm. Ref. AR26U. Retrofit para brazo gancho. Goma integrada. Precio por unidad, IVA incluido.",22990,Escobillas,ECP-ESC-008,escobilla;goma;bosch;aerotwin;26;650mm;ar26u;limpiaparabrisas
"OSRAM Ampolleta H4 12 V","Ampolleta halógena H4 12 V 60/55 W. Base P43t. Ref. 64193. Original Line. Precio por unidad, IVA incluido.",4490,Ampolletas,ECP-AMP-001,ampolleta;luz;luces;h4;osram;12v;64193;halogena
"OSRAM Ampolleta H7 12 V","Ampolleta halógena H7 12 V 55 W. Base PX26d. Ref. 64210. Original Line. Precio por unidad, IVA incluido.",5490,Ampolletas,ECP-AMP-002,ampolleta;luz;luces;h7;osram;12v;64210;halogena
"OSRAM Ampolleta H1 12 V","Ampolleta halógena H1 12 V 55 W. Base P14.5s. Ref. 64150. Original Line. Precio por unidad, IVA incluido.",3990,Ampolletas,ECP-AMP-003,ampolleta;luz;luces;h1;osram;12v;64150;halogena
"OSRAM Ampolleta H3 12 V","Ampolleta halógena H3 12 V 55 W. Base PK22s. Ref. 64151. Original Line. Precio por unidad, IVA incluido.",3990,Ampolletas,ECP-AMP-004,ampolleta;luz;luces;h3;osram;12v;64151;halogena
"OSRAM Ampolleta HB3 12 V","Ampolleta halógena HB3 12 V 60 W. Base P20d. Ref. 9005. Original Line. Precio por unidad, IVA incluido.",7990,Ampolletas,ECP-AMP-005,ampolleta;luz;luces;hb3;9005;osram;12v;halogena
"OSRAM Ampolleta HB4 12 V","Ampolleta halógena HB4 12 V 51 W. Base P22d. Ref. 9006. Original Line. Precio por unidad, IVA incluido.",7990,Ampolletas,ECP-AMP-006,ampolleta;luz;luces;hb4;9006;osram;12v;halogena
"OSRAM Ampolleta W5W 12 V","Ampolleta de señalización W5W 12 V 5 W. Base W2.1x9.5d. Ref. 2825. Precio por unidad, IVA incluido.",1190,Ampolletas,ECP-AMP-007,ampolleta;luz;w5w;osram;12v;2825;senalizacion
"OSRAM Ampolleta P21W 12 V","Ampolleta de señalización P21W 12 V 21 W. Base BA15s. Ref. 7506. Precio por unidad, IVA incluido.",1590,Ampolletas,ECP-AMP-008,ampolleta;luz;p21w;osram;12v;7506;senalizacion
"BREMBO Prime Pastillas delanteras P 83 106","Pastillas delanteras sistema Akebono. 123 x 50 x 16 mm. Ref. P 83 106. Precio por juego de 1 eje, IVA incluido. Confirmar aplicación por vehículo.",49990,Frenos,ECP-FRE-001,pastillas;freno;brembo;delanteras;akebono;p83106
"BREMBO Prime Pastillas delanteras P 83 082","Pastillas delanteras sistema Akebono. 139 x 56 x 18 mm. Ref. P 83 082. Precio por juego de 1 eje, IVA incluido. Confirmar aplicación por vehículo.",45990,Frenos,ECP-FRE-002,pastillas;freno;brembo;delanteras;akebono;p83082
"BREMBO Prime Pastillas traseras P 30 021","Pastillas traseras sistema Mando. 110 x 47 x 16 mm. Ref. P 30 021. Precio por juego de 1 eje, IVA incluido. Confirmar aplicación por vehículo.",39990,Frenos,ECP-FRE-003,pastillas;freno;brembo;traseras;mando;p30021
"BREMBO Prime Pastillas delanteras P 30 056","Pastillas delanteras sistema Mando. 138 x 61 x 18 mm. Ref. P 30 056. Precio por juego de 1 eje, IVA incluido. Confirmar aplicación por vehículo.",48990,Frenos,ECP-FRE-004,pastillas;freno;brembo;delanteras;mando;p30056
"BREMBO Prime Pastillas delanteras P 59 051","Pastillas delanteras sistema Bosch. 123 x 53 x 18 mm. Ref. P 59 051. Precio por juego de 1 eje, IVA incluido. Confirmar aplicación por vehículo.",37990,Frenos,ECP-FRE-005,pastillas;freno;brembo;delanteras;bosch;p59051
"BREMBO Prime Pastillas P 85 020","Pastillas según aplicación, sistema Lucas. 87 x 53 x 17 mm. Ref. P 85 020. Puede ir delante o detrás según el vehículo. Precio por juego de 1 eje, IVA incluido.",38990,Frenos,ECP-FRE-006,pastillas;freno;brembo;lucas;p85020
"NGK Bujía estándar BKR5E-11","Bujía de encendido níquel. Grado térmico 5, luz 1,1 mm. Ref. BKR5E-11 / 6953. Precio por unidad, IVA incluido. No intercambiar grado térmico sin confirmar el motor.",4990,Bujías,ECP-BUJ-001,bujia;ngk;bkr5e-11;6953;niquel;grado5
"NGK Bujía estándar BKR6E-11","Bujía de encendido níquel. Grado térmico 6, luz 1,1 mm. Ref. BKR6E-11 / 2756. Precio por unidad, IVA incluido. No intercambiar grado térmico sin confirmar el motor.",4990,Bujías,ECP-BUJ-002,bujia;ngk;bkr6e-11;2756;niquel;grado6
"NGK Bujía Iridium IX BKR5EIX-11","Bujía Iridium IX. Grado térmico 5, luz 1,1 mm. Electrodo central de iridio. Ref. BKR5EIX-11 / 5464. Precio por unidad, IVA incluido.",14990,Bujías,ECP-BUJ-003,bujia;ngk;iridium;bkr5eix-11;5464;grado5
"NGK Bujía Iridium IX BKR6EIX-11","Bujía Iridium IX. Grado térmico 6, luz 1,1 mm. Electrodo central de iridio. Ref. BKR6EIX-11 / 3764. Precio por unidad, IVA incluido.",14990,Bujías,ECP-BUJ-004,bujia;ngk;iridium;bkr6eix-11;3764;grado6
